Michael Jackson	Michael Jackson	2.3
Michael Joseph Jackson ( ur .	Michael Jackson ( rodz .	2.24286
29 sierpnia 1958 w Gary , zm .	29 śyrpńa 1958 we Gary , um .	5.28696
25 czerwca 2009 w Los Angeles ) – amerykański piosenkarz muzyki pop , R & amp ; B , soul , rock i funk , autor tekstów , artysta estradowy , tancerz , aktor , kompozytor i filantrop , którego kariera i życie osobiste stały się ważną częścią kultury masowej .	25 czyrwńa 2009 we Los Angeles ) – amerikański pjosynkorz , kerygo karjera a żywobyće uostało śe ikůnům popkultury bez uostatńe sztyry dekady . ~~~ Bůł jydnym s nojpopularńijszych muzykantůw we gyszichće .	0.970909
Zaliczany do najwybitniejszych wykonawców i kompozytorów oraz najpopularniejszych artystów w historii , najlepiej sprzedający się artysta solowy wszech czasów i najbardziej nagradzany i najliczniej wprowadzany do galerii sław największy artysta wszech czasów wśród żyjących i martwych , a ze względu na swoje osiągnięcia w branży muzycznej nazywany był „ Królem Popu ” .	Wkludźił uůn do popkultury nowe ruchy we tańcowańu ( robot a Moonwalk ) , uodmjyńůł sposůb robjyńo teledyskůw a mjoł ajnflus na sukces MTV , kero na anfangu jygo karjery ńy bůła tak szyroko znůmo kej terozki .	0.508359
Karierę muzyczną rozpoczął w wieku sześciu lat , będąc wokalistą rodzinnego zespołu The Jackson 5 .	Michael Jackson chowoł śe we familije uo muzycznych tradycyjach a karjera zaczůn kej bůł 7 lot stary .	0.649412
Pierwszy solowy album `` Got to Be There '' wydał w 1971 , będąc jeszcze członkiem grupy , z którą ostatecznie się rozstał w roku 1984 .		-0.3
Pełną karierę solową rozpoczął w 1979 , zaś jej szczyt przypadł na przełom lat 80. i 90 .	Jygo solowo karjera mo anfang we 1979 roku .	0.608108
XX wieku , po wydaniu albumów `` Thriller '' , którego światowa sprzedaż wynosi ponad 100 mln egzemplarzy , i `` Bad '' .	Pjyrszy jygo sukces to albům `` Thriller '' , kery uostoł przedany we przez 100 mln .	3.00905
Po `` Thrillerze '' i `` Bad '' Jackson wydawał kolejne albumy osiągające wysokie pozycje na listach przebojów i sprzedaży : `` Dangerous '' ( 1991 ) , ' ( 1995 ) oraz `` Invincible '' ( 2001 ) .		-0.3
Szacowany nakład jego albumów i singli na całym świecie wynosi ponad 336,119,000 egzemplarzy , co czyni go najlepiej sprzedającym się solowym artystą w historii .		-0.3
Do jego dokonań w przemyśle muzycznym zalicza się m.in .		-0.3
rewolucyjne podejście do teledysków ( zapoczątkowane przez wideoklip do piosenki „ Thriller ” z 1983 ) oraz zdominowanie rynku muzyki popularnej w latach 80 .		-0.3
XX wieku .	egzymplarzůw .	1.13333
Był pierwszym czarnoskórym artystą , który uzyskał silne poparcie w telewizji , w szczególności MTV , która z korzyścią dla obu stron promowała jego pionierskie wideoklipy do piosenek „ Thriller ” czy „ Billie Jean ” .		-0.3
Spopularyzował też skomplikowane ruchy taneczne , takie jak moonwalk i robot dance .		-0.3
Laureat setek nagród , w tym 14 nagród Grammy ( jak również Grammy Legend Award i Grammy Lifetime Achievement Award ) co czyni go najbardziej nagradzanym artystą w historii muzyki popularnej , a 13 spośród jego singli uplasowało się na pierwszych miejscach list przebojów w Stanach Zjednoczonych .		-0.3
Wywarł ogromny wpływ na kulturę masową , przełamując wiele stereotypów , w tym uprzedzenia rasowe .		-0.3
Twórczością inspirował rzesze artystów różnych gatunków muzycznych – od popu , soulu przez R & amp ; B po hip hop .		-0.3
Od 1988 do 2005 mieszkał w swojej posiadłości w Kalifornii , zwanej Neverland Ranch , gdzie zbudował wesołe miasteczko , prywatne zoo , salę kinowo-teatralno-taneczną , salę gier komputerowych , wioskę indiańską , XIX-wieczny Dziki Zachód , słynny zegar kwiatowy , stację kolejkową , często odwiedzane przez dzieci .		-0.3
